"Voting rates among citizens during presidential elections in the United States from 1964 to 2016, by education level",Years,Grade 9 10 11,High School Diploma,Some college or Associate defree,Bachelorâ€™s Degree or Higher,
,1964,65.4,76.1,82.1,87.5,in %
,1968,61.3,72.5,78.4,84.1,in %
,1972,52,65.4,74.9,83.6,in %
,1976,47.2,59.4,68.1,79.8,in %
,1980,47.2,60.5,69.2,82.8,in %
,1984,46.1,60.4,69.7,82.3,in %
,1988,43.7,56.7,67,81.4,in %
,1992,44.9,60.1,71.7,85.3,in %
,1996,37.3,51.7,63.1,77,in %
,2000,38,52.5,63.1,77.5,in %
,2004,39.8,56.4,68.9,79.7,in %
,2008,39.9,54.9,68,78.9,in %
,2012,38.3,52.6,64.2,77.1,in %
,2016,35.4,51.5,63.3,76.3,in %
